default_code,name,categ_id,list_price,standard_price,type,x_puff_count,x_flavor,x_volume,x_nicotine_level,x_pack_size
DLMMOP300501,Lost Mary MO5000 3% Disposable-Black Mint-3%-5-Pack,Disposables,49.95,40.5,goods,0,Black Mint,,3%,5
DLMMOP300501,Lost Mary MO5000 3% Disposable-Black Mint-3%-5-Pack,Disposables,49.95,40.5,goods,0,Black Mint,,3%,5
DLMMOP300501,Lost Mary MO5000 3% Disposable-Black Mint-3%-5-Pack,Disposables,49.95,40.5,goods,0,Black Mint,,3%,5
DLMMOP300502,Lost Mary MO5000 3% Disposable-Citrus Sunrise-3%-5-Pack,Disposables,49.95,40.5,goods,0,Citrus Sunrise,,3%,5
DLMMOP300502,Lost Mary MO5000 3% Disposable-Citrus Sunrise-3%-5-Pack,Disposables,49.95,40.5,goods,0,Citrus Sunrise,,3%,5
DLMMOP300502,Lost Mary MO5000 3% Disposable-Citrus Sunrise-3%-5-Pack,Disposables,49.95,40.5,goods,0,Citrus Sunrise,,3%,5
DLMMOP300503,Lost Mary MO5000 3% Disposable-Grape Jelly-3%-5-Pack,Disposables,49.95,40.5,goods,0,Grape Jelly,,3%,5
DLMMOP300503,Lost Mary MO5000 3% Disposable-Grape Jelly-3%-5-Pack,Disposables,49.95,40.5,goods,0,Grape Jelly,,3%,5
DLMMOP300503,Lost Mary MO5000 3% Disposable-Grape Jelly-3%-5-Pack,Disposables,49.95,40.5,goods,0,Grape Jelly,,3%,5
DLMMOP300504,Lost Mary MO5000 3% Disposable-Kiwi Fuse-3%-5-Pack,Disposables,49.95,40.5,goods,0,Kiwi Fuse,,3%,5
DLMMOP300504,Lost Mary MO5000 3% Disposable-Kiwi Fuse-3%-5-Pack,Disposables,49.95,40.5,goods,0,Kiwi Fuse,,3%,5
DLMMOP300504,Lost Mary MO5000 3% Disposable-Kiwi Fuse-3%-5-Pack,Disposables,49.95,40.5,goods,0,Kiwi Fuse,,3%,5
DLMMOP300505,Lost Mary MO5000 3% Disposable-Mango Peach Watermelon-3%-5-Pack,Disposables,49.95,40.5,goods,0,Mango Peach Watermelon,,3%,5
DLMMOP300505,Lost Mary MO5000 3% Disposable-Mango Peach Watermelon-3%-5-Pack,Disposables,49.95,40.5,goods,0,Mango Peach Watermelon,,3%,5
DLMMOP300505,Lost Mary MO5000 3% Disposable-Mango Peach Watermelon-3%-5-Pack,Disposables,49.95,40.5,goods,0,Mango Peach Watermelon,,3%,5
DLMMOP300506,Lost Mary MO5000 3% Disposable-Pineapple Apple Pear-3%-5-Pack,Disposables,49.95,40.5,goods,0,Pineapple Apple Pear,,3%,5
DLMMOP300506,Lost Mary MO5000 3% Disposable-Pineapple Apple Pear-3%-5-Pack,Disposables,49.95,40.5,goods,0,Pineapple Apple Pear,,3%,5
DLMMOP300506,Lost Mary MO5000 3% Disposable-Pineapple Apple Pear-3%-5-Pack,Disposables,49.95,40.5,goods,0,Pineapple Apple Pear,,3%,5
DLMMOP300507,Lost Mary MO5000 3% Disposable-Watermelon Cherry-3%-5-Pack,Disposables,49.95,40.5,goods,0,Watermelon Cherry,,3%,5
DLMMOP300507,Lost Mary MO5000 3% Disposable-Watermelon Cherry-3%-5-Pack,Disposables,49.95,40.5,goods,0,Watermelon Cherry,,3%,5
DLMMOP300507,Lost Mary MO5000 3% Disposable-Watermelon Cherry-3%-5-Pack,Disposables,49.95,40.5,goods,0,Watermelon Cherry,,3%,5
DLMMOP300508,Lost Mary MO5000 3% Disposable-Watermelon Ice-3%-5-Pack,Disposables,49.95,40.5,goods,0,Watermelon Ice,,3%,5
DLMMOP300508,Lost Mary MO5000 3% Disposable-Watermelon Ice-3%-5-Pack,Disposables,49.95,40.5,goods,0,Watermelon Ice,,3%,5
