SKU,Name,Price,Cost,Quantity,UPC,Weight,Volume,Nicotine_Level,Flavor,Unit_Per_Pack,Location_1,Qty_1
DABDMP500003,"Air Bar Diamond Disposable 10-Pack - 5% - Blueberry Ice",45.00,30.00,0,,,,,,,Z,0
DABDMP500014,"Air Bar Diamond Disposable 10-Pack - 5% - Strawberry Kiwi",40.50,30.00,0,,,,,,,Z,0
DABDMP500005,"Air Bar Diamond Disposable 10-Pack - 5% - Cherry Cola",45.00,30.00,0,,,,,,,Z,0
DABDMP500017,"Air Bar Diamond Disposable 10-Pack - 5% - Watermelon Candy",40.50,30.00,0,,,,,,,Z,0
DABDMP500007,"Air Bar Diamond Disposable 10-Pack - 5% - Grape Ice",40.50,30.00,0,,,,,,,Z,0
DLFLOP500008,"Lush Flow 1500 Puffs Disposable Vape 10 Pack - 5% - Lychee Peach Ice",104.99,47.50,0,,,,,,,Z,0
DPFPLP500022,"Puff Plus Disposable Vape - Pack of 10 - Lime Agave",77.63,65.00,0,,,,,,,Z,0
COIL05,"GeekVape Aegis Hero Replacement Pod 1 PC",8.94,6.60,0,,,,,,,Z,0
COIL04,"Uwell Whirl 2 Replacement Coil 4 Pack - 0.6ohm",6.75,3.70,0,,,,,,,Z,0
COIL45,"Yocan Evolve Plus XL Coils 5 Pack",9.87,7.30,0,,,,,,,Z,0
DLURGP500007,"Lush 1500 Puffs Disposable - Pack of 10 - 5% - Frozen Fruit",57.38,42.50,0,,,,,,,Z,0
DLURGP500001,"Lush 1500 Puffs Disposable - Pack of 10 - 5% - Apple Ice",57.38,42.50,0,,,,,,,Z,0
DABDMP500012,"Air Bar Diamond Disposable 10-Pack - 5% - Pineapple Ice",40.50,30.00,0,,,,,,,Z,0
DABDMP500015,"Air Bar Diamond Disposable 10-Pack - 5% - Strawberry Watermelon",40.50,30.00,0,,,,,,,Z,0
"Yami Vapor 100ml-  Ninja Man 0mg","Yami Vapor 100ml-  Ninja Man 0mg",8.10,6.00,0,,,,,,,Z,0
"Yami Vapor 100ml-  Ninja Man 3mg","Yami Vapor 100ml-  Ninja Man 3mg",7.50,6.00,0,,,,,,,Z,0
"Yami Vapor 100ml-  Ninja Man 6mg","Yami Vapor 100ml-  Ninja Man 6mg",7.50,6.00,0,,,,,,,Z,0
COIL12,"CoilMaster Organic Cotton 5 Pack",0.99,5.30,0,,,,,,,Z,0
COIL16,"Vaporesso GTM Coils - GTM 2 Coil 0.4Ohm",6.74,4.90,0,,,,,,,Z,0
DABDMP500011,"Air Bar Diamond Disposable 10-Pack - 5% - Peach",40.50,30.00,0,,,,,,,Z,0
DABDMP500010,"Air Bar Diamond Disposable 10-Pack - 5% - Mango Strawberry",40.50,30.00,0,,,,,,,Z,0
